,HITId,WorkerId,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,image_url_x,labeled_image_fnames
641,38LRF35D5L9R04EHZ523HEUH7IN3UX,A3343ON7H5UO3L,"[{""height"":72,""label"":""Shoe"",""left"":151,""top"":210,""width"":215}]",282,500,https://storage.googleapis.com/shoes_to_label/shoe495.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=aeFUKDFWKp2FN0kaCah8B1OBEOCQz3EnXbgxDyejoZMw7u2AHCRo%2FiF42H6%2BE81XZw32bbJjsPkMnsk0x0RSoBm0lSOp6sdU8gikAQExaLE%2BmhOXr%2B6odMzSzYjolrEQpqYqjp8FmaWSIC%2BWLDXmpqrA%2F%2FVdy0Ee0sK4imS6mCkJEBGMItGKKj7SAGHIGAlYohRpa5IkSrtBJjEKp61%2B0PvnvA8YAhRBnkeNc9i5SgdP%2BtXdTz4kYylTVJhtTQY10zGWpZtJ0Us10fJkNQIzxE45%2FX1oMSH9HxF%2BaT77vuDXSMqEUvnU8%2FKbLptaOwqeJmDlz94MxwpMy2%2BXb1O0uQ%3D%3D,shoe_bb_641.png
642,3CZH926SICRVT40Z9JSHN10KZUPE4C,A3343ON7H5UO3L,"[{""height"":90,""label"":""Shoe"",""left"":15,""top"":73,""width"":250}]",185,272,https://storage.googleapis.com/shoes_to_label/shoe1093.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=HYF299817sCJrOg6Epw%2FrVCWTtspfxv26SEQ0yxtXV6zche4HLeNnWb3fWUQ1CxWOsA%2B3UL0lQqyaYlFqN2fYYnlYfrBV0VcS9iRX6h%2FRt8M55ZcOKxRud4LOTb2Bd6hgdB%2B9fk9RkW7YceW01VDSsYGoqNaag8TabKQLa7POtb6rBaYMt9knciENzBr4QijUAI9yZcCXM6PradSM26IkgkHIVtxBkMGRBZB5KLSTu3qokWG9viT1bgFaHXGaZoMO12joDA%2FBtLTmJx16O306cIojGU%2BO8gPkaY8cPm0TH7Ub8asYwfgf4jijHwB7WPOgGDG9XLoBwvdJniLStaRjw%3D%3D,shoe_bb_642.png
643,3QI9WAYOGQOAIA9VT2519GODWC4S6C,A7UNIWDAQROJG,"[{""height"":120,""label"":""Shoe"",""left"":22,""top"":2,""width"":123},{""height"":112,""label"":""Shoe"",""left"":74,""top"":80,""width"":157}]",194,259,https://storage.googleapis.com/shoes_to_label/shoe1449.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=qKQnC34TrRD8Zd1RRGkT%2FnyNvMtNuE7KNqzWWu8XwBPL%2BnuI4JRYQRzMKRdgHUY0eogddx3d7pqJY0kCfjrSceGOzb8NmAtT%2FX5NSYVjRP0fJl2GuGNVSHTAaM2RUBkmXF0czP5EJLa%2B8XD%2BTGs5e9wFnrHlurXPhwB7fFJtGvtiFZr3FfImlfWTJTRpesNdIoI%2FwCj6t6vUpBIkeMVOOVOr3ZJvXMzbTE4a7xBz5CG9kewE3Lo5Vk1vWN84bguGccAL1uctXVtICJ8dnFve1qTg3q2JOAOzK7LkmiPZng3WMjc7Q%2FNJqZSykrPEUWMqVOhyMxnI8EJEXvBk%2BotuYA%3D%3D,shoe_bb_643.png
644,3J6BHNX0U95K1C2FNAIGK5JPA8GKNX,AY1UFOR6FY5F8,"[{""height"":146,""label"":""Shoe"",""left"":32,""top"":188,""width"":108},{""height"":82,""label"":""Shoe"",""left"":176,""top"":181,""width"":112},{""height"":103,""label"":""Shoe"",""left"":266,""top"":128,""width"":151},{""height"":47,""label"":""Shoe"",""left"":377,""top"":132,""width"":81},{""height"":48,""label"":""Shoe"",""left"":427,""top"":97,""width"":77},{""height"":48,""label"":""Shoe"",""left"":440,""top"":144,""width"":72}]",342,512,https://storage.googleapis.com/shoes_to_label/shoe1282.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=skRS1uZKm51e1tnFjxOKZTEA5ZkHhkVOPux3kr0nzuEfOk40JKrBCJp79qtPDGa5jmR9KFVpord3lJHKOQXqRA5kYTc2nxlrDxEyBl1ug99PlWKOJPtPeEqL4nqGYNdp7ahLprNVy6BUKdeXqrm%2FnuFMK31hwvWiKyCa7fA7VrJbxqvi9%2FGeBdU%2BvyJrlwrCJpMe4Pop6lnUhspASsmCbvHlhKzRBvhzVq9r73gO%2FoYYgkpTFJ5z%2FMTduHSgaxaVLkdefWnwWj8OU85siCosD0qpaBv97UKvpiUP1d2Ay3feZTk3R3rY9sRcwz3iyrg4TEFfN%2BxwyxqwQMubzVKFNQ%3D%3D,shoe_bb_644.png
645,3HKIF5DF6YAUAO22W9EW4CWCY2I9GK,AOSFK4SX61DUA,"[{""height"":230,""label"":""Shoe"",""left"":0,""top"":2,""width"":219}]",236,236,https://storage.googleapis.com/shoes_to_label/shoe697.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=bGwOpB%2BY%2Bzpfyo4w5n8snOx%2FGtg73VoZKRoH02c60hX1MZGT7264P%2FZeHFpvygu2PUmaag2WlpDnGHdaYX1lCix1W3ox74%2BtTklTEwWosOqx%2Bw5o%2BorT4c%2B2h%2FZwYVeFfrNDnlRCoZeiKtLDZFP2gIdvEZiKxpkdifGURfbOBM7X8xZc5Gu%2FwvarL7O%2FNB%2Fm6jsLNsetPspjQEyE4CKU70mOiYOpCEFO%2BKczOoeZvUVD0B8DeEOSPzhgXvkDvK1M8zpWFUy6mNtaCzgIWTAu0DQjLNrW%2Flbp1G%2FOjYV0eMjxHo5OxibnM%2FmEs5lT5wi3GENB%2BWCxBQnuV5OCeotqeg%3D%3D,shoe_bb_645.png
646,31KSVEGZ345WBAOO5VI0H0IUYCDWRS,A28KOHY6EZ23GI,"[{""height"":293,""label"":""Shoe"",""left"":612,""top"":901,""width"":196},{""height"":371,""label"":""Shoe"",""left"":328,""top"":433,""width"":256},{""height"":285,""label"":""Shoe"",""left"":463,""top"":472,""width"":257}]",1200,900,https://storage.googleapis.com/shoes_to_label/shoe1094.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Jeg7lbAiZkRrMUW2fMdT4B58kzDO14poncbfC5KAonC84TNQ%2FGrgEIcmxZvXb8oCqlcgRSmFXms42PcUlJD4o%2Fi4uH2%2FURB2QOJaQAQl4GQP535Do9c0fZr8OIil4Jz0K3CgdK%2B2fn%2FD0jn1jIEasz8w9VieWIAF2KnzaPXv0Ztai%2BoEn%2FXlLfVqK97VQ%2FaU7O7gTsnKFRUBBkEouLKkjBFZf4gPplpgQ8cwakuj33kskY5ZzuJDkBpkwkU0TNYIJKq64xXHFDYHB5H5UQkD6Nyww0DwCoLen6PPJEX9u4gQM9J%2Fnv%2FPSykdxA0zA3Be5zuVD8uN9TfwCo2WZfBlaw%3D%3D,shoe_bb_646.png
647,3XT3KXP24ZBLOW6ZOQBN5EIQNE26IY,A1MYCZT6OX9G20,"[{""height"":73,""label"":""Shoe"",""left"":133,""top"":98,""width"":121},{""height"":87,""label"":""Shoe"",""left"":17,""top"":51,""width"":104}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe698.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Q5VzbedDr5ujvJyiXNkHcE6aj%2Fg76tAr2i6%2FpHAIqienC44MIPnqSFSICcH5%2BNjrT39L%2BCVF%2FfL9D%2BHdzWQI5X53qipXfr0V%2FzTnofV3swxJC1WxD1RFv54zoDRfe%2BJDGDAX2QW5cDdXF0MqOCIQ36tCJjIVv8B9NOmgnFuBcIql5PK3zLpiFYdNSiUDs5gyFwYFgnbeVkIoTOauUhVlvFTnoCRGlPyKIPuT7OEXMCPtukXQCmhQt4rl3Cl3ffPm8dqakMpKTUkZNOkCQPV%2FvmuVLmzLHmNaxfFbseYRlj7F40CkpAEtv13CWuGNzcKt0ojjGOYGnVpy6zYxiPeOoA%3D%3D,shoe_bb_647.png
648,3VMHWJRYHVTEXKO5O5ES2UII4Q9XFS,A3J08ETUZNPUF3,"[{""height"":79,""label"":""Shoe"",""left"":50,""top"":14,""width"":198},{""height"":65,""label"":""Shoe"",""left"":57,""top"":91,""width"":189}]",203,248,https://storage.googleapis.com/shoes_to_label/shoe145.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=VRZ5XZ%2Fjkjt6N3TE90Av2VQWLCKZ9FP9x3mnwfseyvdNqP0OuGzvwxlJKYUrQzzgdLUZYr2sFQpAL6OVl%2B5QWTpGp%2FfLGU2NenoPtR2H%2Bor9payQDTjybxO3mWt5YAmF6jIcqYZsWqfGdXehiHGR2h7sDlW37OhbxpLKtbRQTE%2FcIxGAjkl38n1Mxy2z40rU%2FjDcjjoAXNAULzF07Qi%2FHdEEiRmKtRHV5c%2F4UZ%2Fo4%2FKYtusZN580SftDR1nBs%2BFp75gBEuxBrQI68A8dWyLk0iBz4kt7xCLYiWDZjJQxihmYVkBWw1lDY2LUAj3UHIsG6krBNLRI%2ByUnI35tddi5Ew%3D%3D,shoe_bb_648.png
649,3UY4PIS8QRYIVBGTF0CYFQNQ12GN1X,AQCLZQH954EAF,"[{""height"":211,""label"":""Shoe"",""left"":687,""top"":310,""width"":114},{""height"":153,""label"":""Shoe"",""left"":474,""top"":370,""width"":216},{""height"":141,""label"":""Shoe"",""left"":239,""top"":213,""width"":171},{""height"":158,""label"":""Shoe"",""left"":131,""top"":249,""width"":195}]",599,958,https://storage.googleapis.com/shoes_to_label/shoe1283.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=fnGQ4kLa8wNIqv7UB8qXdiMu%2FuVk22Tn6CL3d5ECNqHFTZwIqEZaQtnPT6e0pnBqBXX54tjHW7HKN7TVlvOemFIDxGukrPPMxHXoEraXAAZ%2Fd989ynlAaYvhItEjJuS%2F90h9Zx%2FC99L1vUHy9wlXnqlScLGKu7pFgVt3%2FJUR2Psaubr7%2BMwFA5XGidj1EOzWBTwC56m3o2tqrczIpl98pHsPd9FwiNtTLltL2o0J3htOopLZyJnu2REb2CP5y1zxyH3wSdPc4inYxH5SpAyPKWjiqomr6OXng3LnX9Qo0bBOR0Lfe5fYZAmZcZAxQbOhM4NtWpytfSxAEVX9ShsvMg%3D%3D,shoe_bb_649.png
651,3UUSLRKAULGNKL4IFMF4KV29QKED72,AQ6EG9HH6AKS3,"[{""height"":137,""label"":""Shoe"",""left"":8,""top"":17,""width"":202}]",225,225,https://storage.googleapis.com/shoes_to_label/shoe1284.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Rsl%2BJlOFZSlwImLHWkSXuQamo07jOC2x%2BWqPnTxl7D1qzZgqE%2FhheRhSabhonI7nT%2BgqtQg7iiZFE4ALmR1O7fYTrUiZfc%2BrLPfhlKZsLXCEFYO%2B8H4wCLMuPu7FUrlFon%2FqWn0cSTGWVnMAN3%2B4oXCw9juRTD2cNtkmoTQ7Fwv%2FQ5sZf7c6wzbn8RsJOQytiVXInRL%2BnDw9Ep9atqFTYRwmr5naDK9fdhZm740MVr4vkNujxtjbGtjDubFqOVsvhRwVAB47OTol3diQPxd1ORjd0bUdb%2FrXa9pcCEF0ot%2BWGKwhDjNRcr6HFKDqAt58%2Bh%2F0OfRP1FsIUScEAtwcyQ%3D%3D,shoe_bb_651.png
652,3S4TINXCC001QUYXIC500R04DOCBOJ,AD1ILDUXZHASF,"[{""height"":179,""label"":""Shoe"",""left"":192,""top"":79,""width"":376},{""height"":227,""label"":""Shoe"",""left"":47,""top"":87,""width"":350}]",400,600,https://storage.googleapis.com/shoes_to_label/shoe1095.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=aqP6rXaFsfmOmJo3oBhuGeiGzqPkP2h3VQ7PbN2XKPfZvlTVoHO35ws1sYo7XkOLbtt5iK5UL%2FWhdBlSg2CZ71HeH4xvvlyDrNaYgzzd6SrklcE2EDl1pPu8czsDtRke6eY%2BnpedDOQJxqJwR9d%2F4%2BmuJXNWUKyieH96I4W3fkS7ry2nvtVymxB0NdITV%2Ful2OWXlQ1l2hNGbT1jo%2FOhD8qOViqW97i1gn%2FAVQrCL8Q7cdbueyoVj5b23Ik6XsCPCsYbmpd4KUV5abn1KAZ9UsqzHlUCvgfTPDU2tRb42kg%2BbUM7ZHRLg09739qr%2Baz%2BYLYMQfYAMV3hTihADtqnWw%3D%3D,shoe_bb_652.png
656,3UQVX1UPFSUMZ06IXYAE9X1ILFK02H,A1KRY3XBFXAU4M,"[{""height"":182,""label"":""Shoe"",""left"":172,""top"":350,""width"":116},{""height"":174,""label"":""Shoe"",""left"":295,""top"":343,""width"":232}]",600,600,https://storage.googleapis.com/shoes_to_label/shoe1450.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=mGI%2F7qYjwRIP39ImgTcmRGljReCqOgKui1WCWNdWF%2BQ8XWFkDv1jL%2BDpI%2BN9d1pHNe805bPhHJEMfiMvR7ummY2N5PBv7cMvRhjjw%2Fz1T%2BH6jJzo%2B%2B8llGGTDhmfIFMRBmoI921o4iG3yzmbvkUYE0h%2BaoSgEM1JDeJ69AsPZhM8ypm2cYE9o0x8nQo3tpzr%2Brwgkv%2BjIX6CYIWfh0KoxjVG11bdXZlssV3lL73jh0UAqXyj6XZVV0%2FIIrOnsXRVSmtg7AvTsC8XHqMicNduMAiJVJImdTNgBIY%2BKIboP8y6UxiT1uVi1B1%2B%2BC2Z2cwrQgt9QVqsDCw16eFB21Z9ZA%3D%3D,shoe_bb_656.png
657,34O39PNDK6L4N7QDA4M4UM59OBWBRS,A1580MT585M44G,"[{""height"":65,""label"":""Shoe"",""left"":108,""top"":57,""width"":38},{""height"":70,""label"":""Shoe"",""left"":149,""top"":55,""width"":45}]",155,325,https://storage.googleapis.com/shoes_to_label/shoe70.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=cKzCrh%2BYG%2FxVswUG3nc1%2F8n6nrwrTpjMK9voOsERv6vSaP75gCDpAfQNvx3Hd01gI3BsAZb9tOd4sUqqpmqLsbbjktlUZUKDiGT6nKmOHmdT0GFg1xFfZnIg0heW6ICOV1mFDrTWS5yyn%2B1NEU0ECt0TBvow06kubt0cGkEIkImgStUoMCK%2FRBxWFwcV6l3g3EBNlgyLmVZdJ584QZsVWpaiJv2HgD4jvQ4zurwCKGnnzY8ytUtV9bkySQ8jZO4xNT5ua7lr4%2FZ89nnC%2B6n2Bs7T5%2FPiFPuHgzG38JZDPCATB99W7ZcIHnFQJwYJ8Lr6%2FANmxMf4YNwJq9ZkHqoz7Q%3D%3D,shoe_bb_657.png
660,38VTL6WC4AQBVSLQNPNLZWYEH2Q5YO,A1580MT585M44G,"[{""height"":265,""label"":""Shoe"",""left"":77,""top"":422,""width"":292},{""height"":176,""label"":""Shoe"",""left"":340,""top"":336,""width"":228}]",700,700,https://storage.googleapis.com/shoes_to_label/shoe1451.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=odMsGm0VAp%2B6mIchKoy41iQ1PoxbUHeqk5StAcy7PWQFQk8FzpMquW2rjWLN8bfp%2BHftaEo1ZSnz4T9v5g2HoaREP7kxQQ2uEzUpbF6mD5NufFuSsnAd3Ty9hewWqnGmIMWIMJpdw2ufiQQ12DuL0L%2By%2FXUGiVBSBAler5l8WThwHwwg%2Fbiu1E2SXcIyuXKxtg24wZWThvoBzBD1TPN45hbVuds613S1Jdc%2FfGC5nSvCTR2YhC%2F%2BV4gfGUmi85uLdd6LtUX8vka9lO5kBLhr93LJkexG9wl36cPPgG%2F7LEfHeEToiNzOBv4iIlyZ7bDFstjfMXhwFw7E11OiMMFAoQ%3D%3D,shoe_bb_660.png
661,3IJ95K7NDXPFZQ6WXJX1MDRW3RZGNQ,A7UNIWDAQROJG,"[{""height"":60,""label"":""Shoe"",""left"":137,""top"":165,""width"":54},{""height"":66,""label"":""Shoe"",""left"":75,""top"":153,""width"":56}]",225,225,https://storage.googleapis.com/shoes_to_label/shoe700.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=IkORGq%2Br%2BsfH1eOl%2BI0AohEG57waL3SAPn1IRCBU%2FX8oKHJmf94roEQnxocI9nsov%2F7c55L10527lnpETCPeRXX4j38rA2HCIHmVz8vdE4j7Pb0uOhCq9FBV6LF6Xl6%2BLZVML8CvshbTay033rCWdDQ9uLVEP%2ByvSQx651%2BQMvAAuPYVMbV3%2Bqbai05892S27h4mkE5cVP4wEKv7ya8rRMlt3bJoSkk3WTWMtF0P5ULSghDo5KF0ZTytgtE%2Fn07gPDqBSsU4nOd7xHXOaajA0dEmdXqqHukdHIB3CcxU69Rqno7EhqYItMS2xQOWIqLELL3IPkwiMIP%2BV4TCfEWtoA%3D%3D,shoe_bb_661.png
663,3A520CCNWNDAVTGGIK2804MKR4LEAN,A2SFP34EVH2AEI,"[{""height"":117,""label"":""Shoe"",""left"":126,""top"":65,""width"":53}]",183,275,https://storage.googleapis.com/shoes_to_label/shoe498.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=giOPewWprM9SovfCZQuk1nCpOANnMqhi%2BlM7Im5EXHequOUyP7vPIR6ZWPtf7LzcShiFyn97tj25H%2BqwJlaVhWZp9JpyxpGJZChLp7Xu20i05pUscoTUMMexNwh8nit5B9MzWSBY%2Ff5Cr37OVrpeagek1MTG2ZTgOrXm%2BqWDDFGrySKrlFwlpz1Pf72Az8BRMEXIyCu%2B8JrQQeWgldJ3WpioV5Rebfku7aIpBhuzHDdHCnqGaGcTq55UZQWFET2DWwY80ZHsV%2FZLNgOkLZTHwKl0ULWMk%2FKC5UHsJqaKF1sqhlYSIF2oQ1XcxHynyk9HERlmUQ%2BjCfmGVVdUDnc4Kw%3D%3D,shoe_bb_663.png
664,3N3WJQXELS3ZWWV4MRWX7HT6ODV2LS,A18UH8VWGMHB81,"[{""height"":79,""label"":""Shoe"",""left"":91,""top"":96,""width"":34},{""height"":78,""label"":""Shoe"",""left"":130,""top"":93,""width"":30}]",191,264,https://storage.googleapis.com/shoes_to_label/shoe1452.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=k73RvaRWcuVaz1UKNZEbkeW%2BV49a3RLNsupnrtruDDPAImCr%2BabYKwsxMfu5k2owArtt529GEDf4C3DFmCOGdeb0lzXdxmKgIVa1ZxSnhrFFZZ7vELV87Zvd7JiIAYwHEB6bEfnbmBK8YvRFnfIQfGI176A8TvOG%2FKXrzvpRLQRhMdndd2%2FS2dxzc0XiDcuTIrcGAmzsdla0YGahEOhfd7AL0pTiQ52%2FGsra%2FBqt5g0YYDGz0ZH4ElcU4BmUyoxdNf7jzVQvQ43IDQ%2BxzqrRLi%2B6SHipSa4gB%2B8SeHo%2F%2B8YXRWxop%2BEEMHv3qeOoLkhkNKsQam7AamA9i0FyOVCf6A%3D%3D,shoe_bb_664.png
665,362E9TQF2H3NLPV503K9H5VFHS5IGC,A2XQPCBEHMYRSQ,"[{""height"":151,""label"":""Shoe"",""left"":28,""top"":18,""width"":241}]",169,298,https://storage.googleapis.com/shoes_to_label/shoe701.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=U2mm5raCo4%2BVvHOqSDfY1D2kVBGe48EGVv8wcFESPp2E%2FnX7P4o1DImhNzO90ujyro0esTStTAmLsTJ43MHtzXcs%2BqSCIw3YlddvbZTOeGP8zqFyVvDKN63LzNjQsBgBbO23LiACqLl22cYzs6USiTWdwzS0VOtLmdijznkCdnkZ71lYki%2B72wuk%2BP5wjE8DgRDbM1ufIYOdMX6KFbXUlSRxQKwqfvmrfoMJ60pjCCTaZsv1SbOoW9WQyCZOicYK6hiMu9Lcs31xCSLV4U1cnnvghpCTCP8OUXNXyOa4xygOtqpyZ9E6jfdG6o35IO6hWHG4nDTi%2BFj5k2tPQstTCw%3D%3D,shoe_bb_665.png
667,3VJ4PFXFJ3KRKPD28KHD4M8NDSFUAK,A15A0L89BK4P1M,"[{""height"":140,""label"":""Shoe"",""left"":377,""top"":339,""width"":222},{""height"":111,""label"":""Shoe"",""left"":286,""top"":166,""width"":167}]",552,1000,https://storage.googleapis.com/shoes_to_label/shoe1286.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=G0E0Pc8MC7jYV1Ar%2FmXD92PKi89ko6hjGg5K96rK%2F5ySB4ALzpI58VCY6IjUW7oUqckHRea4F1wjkl80SmjIFF%2FJ6vE4gRoOZj9Q0XV%2BIiDX7pYjoZ4I2Cp1IdoSEYPpU7hv0SKwgsganYKWZHmkCVuPSIE2IaNpG%2BMy0JVr6wfAf%2BzoxSeHZ18z0LqweT37ZxG%2BNdtNZX8pjLpROTL2xpPTo6XIrJwf%2BhMZqxETfju7%2BJLJDRmy7NjGIVOhJEJllv5QrtJXmppwUigo8q%2Bq29nUo%2B%2BmF9aVvvaKDsoXbIFqI9PD3VBZAj10rHRc%2Bx5iTLP85rclW6tESnALqcdANg%3D%3D,shoe_bb_667.png
669,3EFNPKWBMS1BKI211YOJS76ARTK03S,A39HRVAJ5ISRL7,"[{""height"":51,""label"":""Shoe"",""left"":92,""top"":96,""width"":56},{""height"":42,""label"":""Shoe"",""left"":150,""top"":97,""width"":102}]",168,300,https://storage.googleapis.com/shoes_to_label/shoe1453.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Hce2ccykKB9FRC4s3SehfjsDlDbr%2BKXBIdZEr%2Fy%2Fis54qZ61qRJmkMLuS956BpU%2BM9RFKKnB2HvmsCKjEUIffV3vwElyWPEq3dh79UCqohtUgSrY97vhFF1Lj748NknUaHVbjX2o89hpir8bGkfNPyWNN5YMs7S1PHXwVHKkMKjElzr4FJ2nOBJLpIBzM2M2qN%2F8rsE6ghQTugayFc83SEHoKjKt8fuQGO2R%2FJV%2BQ%2F9chyc259%2B1hzdX2VhIn%2F1ma48QemJ8HqiETJ%2Fdf%2FAtZ6TZ0bfCgucbCWiEEPPwH2nv1liJ5xuaExs6x3DHBwQBsi4SeeBHwAgam8ajduM%2FXA%3D%3D,shoe_bb_669.png
670,336OE47KI2XO4H55EFNAIX7XJIQWVL,A34HSCZ1PZCDY0,"[{""height"":135,""label"":""Shoe"",""left"":15,""top"":24,""width"":240}]",184,274,https://storage.googleapis.com/shoes_to_label/shoe702.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Qr9G%2BDw3qjOAghSGdaO9aKH67bqJQhaETcWI%2Fq%2FTO12MGuqzaYJArsMotFaNpbzqVtaF9k3INz5opljU7za2mbor2U4DW1RUX6CkWGSEl5LQmZ%2FFm0vWQcTcj19kH7DjOKduNjl%2Bbbvh5E8yucfHBp2NQCH12CzggHIOgvqAkWMPstnnk%2FW9zOoIUy14z5Qf3%2FcaS8Om1gfzrA5rkBlCv9Njn4IFZ5fKZ7z7%2F5h0ce9sCc5I7eN5wTaQNjbAVuOV9yl5F6rgxKUq7ENpFSDSEOoNCK3FqV0zHGb88Ep9GOYDgHosLkMaOsyVxgp4x%2Brd6eb8wgzj4Gnh94qgQ62rlA%3D%3D,shoe_bb_670.png
671,3P4C70TRMRUPBQ3BL6HM9LN7YWZGLO,A2SFP34EVH2AEI,"[{""height"":135,""label"":""Shoe"",""left"":158,""top"":4,""width"":77}]",163,310,https://storage.googleapis.com/shoes_to_label/shoe1099.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=GB10EAISrh9Ujw0GWpyhfaVpcfOl%2BuSpkiFqCR8ta%2BBIBeYpzcd7HZIBxKj2VqbYT%2BxXlIcVn%2BduER5sKzxh%2BKCx3YFRy%2F5keXeb611PsJgGibV4C3a3mf1vPrwMb9GkJP6JX4Oqyu5SCWcwUZC6iTZVlB7ORT3FlKBKLTx8w9mb8jeg4c95ENMfXTAJWqmEEJQvorECbfjnVL4syMQXqgdYis8bqV1wypydoHp2PBstUZdkGqVSZNinxNbYxSwkbJjdTxrok3FQXo520wb1bezBKtAGhmmSB71LZw6kAQtVMLytLpAC7E1KpWE%2BarofZXVnVU7KMKYJjD4KjEiVTA%3D%3D,shoe_bb_671.png
672,3CIS7GGG65WUA2UEOPJZ05YEY7DUEF,AR50CINXSSJMS,"[{""height"":596,""label"":""Shoe"",""left"":216,""top"":148,""width"":329},{""height"":605,""label"":""Shoe"",""left"":569,""top"":136,""width"":343}]",744,1024,https://storage.googleapis.com/shoes_to_label/shoe309.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=M8zetvN%2BoLSviGBkFbqiVheNbUmLajfLzcWoNdc2wvk%2FnQkxRDX9ynMtZZtsOVb7cBWjby9RjbsjoHq6n3TIBF4mgV7%2BrNHYC%2FlTm5tHW8AOVUoP9%2FxZ00N%2FmE5ocwJDDNmLWIHXm5l5hPmAkXj3DhX9EHhlFyB%2FpbAxEdJTaMLgC4Y6alxgoTzOiO80zgu3eIOWt5k5DU5amy6UuEDlhotV7%2BdZiTltWvEiZmNmQK%2F%2FtburlCBxbfdDUzgmu31vspOu3J%2BXbPsRhvmSNSVBJ927cbXymBVav6g6mX1iapCMKLzlLIELVd7JhbY6By5pu1jL%2BMl9bSDNV4cV1fhFZA%3D%3D,shoe_bb_672.png
673,3XU9MCX6VOPAZUQHRBTTTT25U5K2RI,AR50CINXSSJMS,"[{""height"":45,""label"":""Shoe"",""left"":145,""top"":167,""width"":36},{""height"":82,""label"":""Shoe"",""left"":40,""top"":154,""width"":123},{""height"":45,""label"":""Shoe"",""left"":0,""top"":174,""width"":21}]",275,183,https://storage.googleapis.com/shoes_to_label/shoe1454.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=cpgoyF8WRBj82fTfiiTVGHijp76k5NLcfTY%2B1vMcDpYL7dt%2FIR%2Fo5QwFMnbsHeYy119B2f3MfuKVUbHl1SetO%2FDSjDv0lIh9DVoV6JGI0EMGQikqX6pLV%2BP2jm7yh6XfXG7Bp2U9OejOwUh7J%2BRriPgGqcYhtkz16VJZLahe60P2%2B7P%2Fh8jdYjmWbWtEV6z7IobeJOZ0udI6k%2FczOvUh2r1pyhd%2FoLXFClHXLiWnfv4FXrdBUP92Rb9kuSEHDzqAdj4ddgFgjdLOHd%2F18beN6XUhW5r%2BJbxVj2aFtC%2BAIfEaHEg%2ByPDhumOWm24jRHasadj0XLXidtdCDF088o0IrQ%3D%3D,shoe_bb_673.png
